space_names,datetimes,mixing_volume,ventilation_volume,temperature,zone_inflow,zone_outflow,zone_dimless_flow,zone_dimless_temp,case_name
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
